ID,Unit,Shelf,Pos (L to R),Title,Author / Editor,Publisher / Series,Language,Type,Photo #,Photo file(s),Left neighbor,Right neighbor,Status,Confidence,Notes,Genre,Year,YearParsed,Description,Shelf description,sort_title
K-AtoD-08,K,A to D,8,Call Me by Your Name,André Aciman,Picador,EN,Fiction,44,1000050044.jpg,Moby-Dick,Crime and Punishment,OK,High,,Literature (English & European),2007,2007,,"Pine folding bookcase (natural wood, hinged sides). Top shelf of the left column.",
K-AtoD-09,K,A to D,9,Crime and Punishment,Fyodor Dostoevsky,Vintage,EN,Fiction,44,1000050044.jpg,Call Me by Your Name,Dance Dance Dance,OK,High,,Literature (English & European),1866,1866,,"Pine folding bookcase (natural wood, hinged sides). Top shelf of the left column.",
K-AtoD-10,K,A to D,10,Dance Dance Dance,Haruki Murakami,Vintage,EN,Fiction,44,1000050044.jpg,Crime and Punishment,Death in Venice,OK,High,,Japanese literature,1988,1988,,"Pine folding bookcase (natural wood, hinged sides). Top shelf of the left column.",
K-AtoD-11,K,A to D,11,Death in Venice,Thomas Mann,Ecco,EN,Fiction,44,1000050044.jpg,Dance Dance Dance,Dubliners,OK,High,,Literature (English & European),1912,1912,,"Pine folding bookcase (natural wood, hinged sides). Top shelf of the left column.",
K-AtoD-12,K,A to D,12,Dubliners,James Joyce,Penguin,EN,Fiction,44,1000050044.jpg,Death in Venice,(shelf end),OK,High,,Literature (English & European),1914,1914,,"Pine folding bookcase (natural wood, hinged sides). Top shelf of the left column.",
K-DtoI-01,K,D to I,1,Don Quixote,Miguel de Cervantes,Penguin Classics,EN,Fiction,45,1000050045.jpg,(shelf start),Ego Is the Enemy,OK,High,,Literature (English & European),1605,1605,,"Left column, second shelf. Sticky note 28.",
K-DtoI-02,K,D to I,2,Ego Is the Enemy,Ryan Holiday,Portfolio,EN,Self-help,45,1000050045.jpg,Don Quixote,Ethics,OK,High,,"Psychology, self-help & business",2016,2016,,"Left column, second shelf. Sticky note 28.",
K-DtoI-03,K,D to I,3,Ethics,Baruch Spinoza,Hackett,EN,Philosophy,45,1000050045.jpg,Ego Is the Enemy,Flowers for Algernon,OK,High,"Second copy, see A2.",Philosophy & political theory,1677,1677,,"Left column, second shelf. Sticky note 28.",
K-DtoI-04,K,D to I,4,Flowers for Algernon,Daniel Keyes,Harvest,EN,Fiction,45,1000050045.jpg,Ethics,Frankenstein,OK,High,,Literature (English & European),1966,1966,,"Left column, second shelf. Sticky note 28.",
K-DtoI-05,K,D to I,5,Frankenstein,Mary Shelley,Penguin Classics,EN,Fiction,45,1000050045.jpg,Flowers for Algernon,"(unreadable) tan cloth spine, faint text",OK,High,,Literature (English & European),1818,1818,,"Left column, second shelf. Sticky note 28.",
K-DtoI-06,K,D to I,6,"(unreadable) tan cloth spine, faint text",,,?,?,45,1000050045.jpg,Frankenstein,"Goodnight Punpun, Vol. 1",Unreadable,Low,Between Frankenstein and Punpun.,Unidentified,,,,"Left column, second shelf. Sticky note 28.",
K-DtoI-07,K,D to I,7,"Goodnight Punpun, Vol. 1",Inio Asano,Viz Signature,EN,Manga,45,1000050045.jpg,"(unreadable) tan cloth spine, faint text","Goodnight Punpun, Vol. 2",OK,High,,Manga & comics,2016,2016,,"Left column, second shelf. Sticky note 28.",
K-DtoI-08,K,D to I,8,"Goodnight Punpun, Vol. 2",Inio Asano,Viz Signature,EN,Manga,45,1000050045.jpg,"Goodnight Punpun, Vol. 1",Great Expectations,OK,High,,Manga & comics,2016,2016,,"Left column, second shelf. Sticky note 28.",
K-DtoI-09,K,D to I,9,Great Expectations,Charles Dickens,Penguin Classics,EN,Fiction,45,1000050045.jpg,"Goodnight Punpun, Vol. 2",Hamlet,OK,High,,Literature (English & European),1861,1861,,"Left column, second shelf. Sticky note 28.",
K-DtoI-10,K,D to I,10,Hamlet,William Shakespeare,Folger,EN,Drama,45,1000050045.jpg,Great Expectations,In the Blink of an Eye,OK,High,,Literature (English & European),1603,1603,,"Left column, second shelf. Sticky note 28.",
K-DtoI-11,K,D to I,11,In the Blink of an Eye,Walter Murch,Silman-James,EN,Film,45,1000050045.jpg,Hamlet,Infinite Jest,OK,High,,"Writing, film & literary craft",2001 (2nd ed.),2001,,"Left column, second shelf. Sticky note 28.",
K-DtoI-12,K,D to I,12,Infinite Jest,David Foster Wallace,Back Bay,EN,Fiction,45,1000050045.jpg,In the Blink of an Eye,(shelf end),OK,High,,Literature (English & European),1996,1996,,"Left column, second shelf. Sticky note 28.",
K-S-TheA-E-01,K,S / The A-E,1,Sein und Zeit,Martin Heidegger,Niemeyer,DE,Philosophy,46,1000050046.jpg,(shelf start),Snow Country,OK,High,"Second copy, see A2.",Philosophy & political theory,1927,1927,,"Floor-level shelf of the left column. The end of S and the start of the ""The"" block.",
K-S-TheA-E-02,K,S / The A-E,2,Snow Country,Yasunari Kawabata,Vintage,EN,Fiction,46,1000050046.jpg,Sein und Zeit,The Age of Innocence,OK,High,,Japanese literature,1948,1948,,"Floor-level shelf of the left column. The end of S and the start of the ""The"" block.",
K-S-TheA-E-03,K,S / The A-E,3,The Age of Innocence,Edith Wharton,Penguin,EN,Fiction,46,1000050046.jpg,Snow Country,The Art of War,OK,High,,Literature (English & European),1920,1920,,"Floor-level shelf of the left column. The end of S and the start of the ""The"" block.",
K-S-TheA-E-04,K,S / The A-E,4,The Art of War,Sun Tzu,Shambhala,EN,Philosophy,46,1000050046.jpg,The Age of Innocence,The Brothers Karamazov,OK,High,,Philosophy & political theory,5th c. BC,,,"Floor-level shelf of the left column. The end of S and the start of the ""The"" block.",
K-S-TheA-E-05,K,S / The A-E,5,The Brothers Karamazov,Fyodor Dostoevsky,FSG,EN,Fiction,46,1000050046.jpg,The Art of War,The Catcher in the Rye,OK,High,,Literature (English & European),1880,1880,,"Floor-level shelf of the left column. The end of S and the start of the ""The"" block.",
K-S-TheA-E-06,K,S / The A-E,6,The Catcher in the Rye,J. D. Salinger,"Little, Brown",EN,Fiction,46,1000050046.jpg,The Brothers Karamazov,The Elephant Vanishes,OK,High,,Literature (English & European),1951,1951,,"Floor-level shelf of the left column. The end of S and the start of the ""The"" block.",
K-S-TheA-E-07,K,S / The A-E,7,The Elephant Vanishes,Haruki Murakami,Vintage,EN,Fiction,46,1000050046.jpg,The Catcher in the Rye,The Epic of Gilgamesh,OK,High,,Japanese literature,1993,1993,,"Floor-level shelf of the left column. The end of S and the start of the ""The"" block.",
K-S-TheA-E-08,K,S / The A-E,8,The Epic of Gilgamesh,Andrew George (tr.),Penguin Classics,EN,Poetry,46,1000050046.jpg,The Elephant Vanishes,(shelf end),OK,High,,Literature (English & European),"c. 2100 BC, Penguin ed.",2100,,"Floor-level shelf of the left column. The end of S and the start of the ""The"" block.",
K-TheF-O-01,K,The F-O,1,The Great Gatsby,F. Scott Fitzgerald,Scribner,EN,Fiction,47,1000050047.jpg,(shelf start),The Hobbit,OK,High,,Literature (English & European),1925,1925,,Top shelf of the middle column. Medal ribbons hang at the right end.,
K-TheF-O-02,K,The F-O,2,The Hobbit,J. R. R. Tolkien,Houghton Mifflin,EN,Fiction,47,1000050047.jpg,The Great Gatsby,The Iliad,OK,High,,Literature (English & European),1937,1937,,Top shelf of the middle column. Medal ribbons hang at the right end.,
K-TheF-O-03,K,The F-O,3,The Iliad,Homer,Penguin Classics,EN,Poetry,47,1000050047.jpg,The Hobbit,The Left Hand of Darkness,OK,High,,Literature (English & European),8th c. BC,,,Top shelf of the middle column. Medal ribbons hang at the right end.,
K-TheF-O-04,K,The F-O,4,The Left Hand of Darkness,Ursula K. Le Guin,Ace,EN,Fiction,47,1000050047.jpg,The Iliad,The Metamorphosis,OK,High,,Literature (English & European),1969,1969,,Top shelf of the middle column. Medal ribbons hang at the right end.,
K-TheF-O-05,K,The F-O,5,The Metamorphosis,Franz Kafka,Bantam,EN,Fiction,47,1000050047.jpg,The Left Hand of Darkness,The Odyssey,OK,High,,Literature (English & European),1915,1915,,Top shelf of the middle column. Medal ribbons hang at the right end.,
K-TheF-O-06,K,The F-O,6,The Odyssey,Homer,Penguin Classics,EN,Poetry,47,1000050047.jpg,The Metamorphosis,(not a book) medal ribbons hanging at the right end,OK,High,,Literature (English & European),8th c. BC,,,Top shelf of the middle column. Medal ribbons hang at the right end.,
K-TheF-O-07,K,The F-O,7,(not a book) medal ribbons hanging at the right end,,,,Other,47,1000050047.jpg,The Odyssey,(shelf end),Not a book,High,,Games & other objects,,,,Top shelf of the middle column. Medal ribbons hang at the right end.,
K-T-W-01,K,T-W,1,The Wind-Up Bird Chronicle,Haruki Murakami,Vintage,EN,Fiction,48,1000050048.jpg,(shelf start),Tristram Shandy,OK,High,,Japanese literature,1994,1994,,"Middle column, third shelf. Sticky note 26.",
K-T-W-02,K,T-W,2,Tristram Shandy,Laurence Sterne,Penguin Classics,EN,Fiction,48,1000050048.jpg,The Wind-Up Bird Chronicle,The Trial,OK,High,,Literature (English & European),1759,1759,,"Middle column, third shelf. Sticky note 26.",
K-T-W-03,K,T-W,3,The Trial,Franz Kafka,Schocken,EN,Fiction,48,1000050048.jpg,Tristram Shandy,Ulysses,OK,High,"Planted error for the sample: filed under T instead of in the ""The"" block.",Literature (English & European),1925,1925,,"Middle column, third shelf. Sticky note 26.",
K-T-W-04,K,T-W,4,Ulysses,James Joyce,Vintage,EN,Fiction,48,1000050048.jpg,The Trial,War and Peace,OK,High,,Literature (English & European),1922,1922,,"Middle column, third shelf. Sticky note 26.",
K-T-W-05,K,T-W,5,War and Peace,Leo Tolstoy,Vintage,EN,Fiction,48,1000050048.jpg,Ulysses,Watchmen,OK,High,,Literature (English & European),1869,1869,,"Middle column, third shelf. Sticky note 26.",
K-T-W-06,K,T-W,6,Watchmen,Alan Moore & Dave Gibbons,DC,EN,Comics,48,1000050048.jpg,War and Peace,Wind/Pinball,OK,High,,Manga & comics,1987,1987,,"Middle column, third shelf. Sticky note 26.",
K-T-W-07,K,T-W,7,Wind/Pinball,Haruki Murakami,Vintage,EN,Fiction,48,1000050048.jpg,Watchmen,(shelf end),OK,High,,Japanese literature,2015,2015,,"Middle column, third shelf. Sticky note 26.",
K-HC1-16-01,K,HC 1-16,1,"Harvard Classics, Vol. 1: Franklin, Woolman, Penn",ed. Charles W. Eliot,P. F. Collier & Son,EN,Anthology,49,1000050049.jpg,(shelf start),"Harvard Classics, Vol. 2: Plato, Epictetus, Marcus Aurelius",OK,High,,Literature (English & European),1909,1909,,"Harvard Classics, first shelf, stacked under T-W.",
K-HC1-16-02,K,HC 1-16,2,"Harvard Classics, Vol. 2: Plato, Epictetus, Marcus Aurelius",ed. Charles W. Eliot,P. F. Collier & Son,EN,Anthology,49,1000050049.jpg,"Harvard Classics, Vol. 1: Franklin, Woolman, Penn","Harvard Classics, Vol. 3: Bacon, Milton's Prose, Thomas Browne",OK,High,,Literature (English & European),1909,1909,,"Harvard Classics, first shelf, stacked under T-W.",
K-HC1-16-03,K,HC 1-16,3,"Harvard Classics, Vol. 3: Bacon, Milton's Prose, Thomas Browne",ed. Charles W. Eliot,P. F. Collier & Son,EN,Anthology,49,1000050049.jpg,"Harvard Classics, Vol. 2: Plato, Epictetus, Marcus Aurelius","Harvard Classics, Vol. 4: Complete Poems in English, Milton",OK,High,,Literature (English & European),1909,1909,,"Harvard Classics, first shelf, stacked under T-W.",
K-HC1-16-04,K,HC 1-16,4,"Harvard Classics, Vol. 4: Complete Poems in English, Milton",ed. Charles W. Eliot,P. F. Collier & Son,EN,Anthology,49,1000050049.jpg,"Harvard Classics, Vol. 3: Bacon, Milton's Prose, Thomas Browne","Harvard Classics, Vol. 5: Essays and English Traits, Emerson",OK,High,,Literature (English & European),1909,1909,,"Harvard Classics, first shelf, stacked under T-W.",
K-HC1-16-05,K,HC 1-16,5,"Harvard Classics, Vol. 5: Essays and English Traits, Emerson",ed. Charles W. Eliot,P. F. Collier & Son,EN,Anthology,49,1000050049.jpg,"Harvard Classics, Vol. 4: Complete Poems in English, Milton","Harvard Classics, Vol. 6: Poems and Songs, Burns",OK,High,,Literature (English & European),1909,1909,,"Harvard Classics, first shelf, stacked under T-W.",
K-HC1-16-06,K,HC 1-16,6,"Harvard Classics, Vol. 6: Poems and Songs, Burns",ed. Charles W. Eliot,P. F. Collier & Son,EN,Anthology,49,1000050049.jpg,"Harvard Classics, Vol. 5: Essays and English Traits, Emerson","Harvard Classics, Vol. 7: Confessions of St. Augustine, Imitation of Christ",OK,High,,Literature (English & European),1909,1909,,"Harvard Classics, first shelf, stacked under T-W.",
K-HC1-16-07,K,HC 1-16,7,"Harvard Classics, Vol. 7: Confessions of St. Augustine, Imitation of Christ",ed. Charles W. Eliot,P. F. Collier & Son,EN,Anthology,49,1000050049.jpg,"Harvard Classics, Vol. 6: Poems and Songs, Burns","Harvard Classics, Vol. 8: Nine Greek Dramas",OK,High,,Literature (English & European),1909,1909,,"Harvard Classics, first shelf, stacked under T-W.",
K-HC1-16-08,K,HC 1-16,8,"Harvard Classics, Vol. 8: Nine Greek Dramas",ed. Charles W. Eliot,P. F. Collier & Son,EN,Anthology,49,1000050049.jpg,"Harvard Classics, Vol. 7: Confessions of St. Augustine, Imitation of Christ","Harvard Classics, Vol. 9: Letters and Treatises of Cicero and Pliny",OK,High,,Literature (English & European),1909,1909,,"Harvard Classics, first shelf, stacked under T-W.",
K-HC1-16-09,K,HC 1-16,9,"Harvard Classics, Vol. 9: Letters and Treatises of Cicero and Pliny",ed. Charles W. Eliot,P. F. Collier & Son,EN,Anthology,49,1000050049.jpg,"Harvard Classics, Vol. 8: Nine Greek Dramas","Harvard Classics, Vol. 10: Wealth of Nations, Adam Smith",OK,High,,Literature (English & European),1909,1909,,"Harvard Classics, first shelf, stacked under T-W.",
K-HC1-16-10,K,HC 1-16,10,"Harvard Classics, Vol. 10: Wealth of Nations, Adam Smith",ed. Charles W. Eliot,P. F. Collier & Son,EN,Anthology,49,1000050049.jpg,"Harvard Classics, Vol. 9: Letters and Treatises of Cicero and Pliny","Harvard Classics, Vol. 11: Origin of Species, Darwin",OK,High,,Literature (English & European),1909,1909,,"Harvard Classics, first shelf, stacked under T-W.",
K-HC1-16-11,K,HC 1-16,11,"Harvard Classics, Vol. 11: Origin of Species, Darwin",ed. Charles W. Eliot,P. F. Collier & Son,EN,Anthology,49,1000050049.jpg,"Harvard Classics, Vol. 10: Wealth of Nations, Adam Smith","Harvard Classics, Vol. 12: Plutarch's Lives",OK,High,,Literature (English & European),1909,1909,,"Harvard Classics, first shelf, stacked under T-W.",
K-HC1-16-12,K,HC 1-16,12,"Harvard Classics, Vol. 12: Plutarch's Lives",ed. Charles W. Eliot,P. F. Collier & Son,EN,Anthology,49,1000050049.jpg,"Harvard Classics, Vol. 11: Origin of Species, Darwin","Harvard Classics, Vol. 13: Aeneid, Virgil",OK,High,,Literature (English & European),1909,1909,,"Harvard Classics, first shelf, stacked under T-W.",
K-HC1-16-13,K,HC 1-16,13,"Harvard Classics, Vol. 13: Aeneid, Virgil",ed. Charles W. Eliot,P. F. Collier & Son,EN,Anthology,49,1000050049.jpg,"Harvard Classics, Vol. 12: Plutarch's Lives","Harvard Classics, Vol. 14: Don Quixote Part 1, Cervantes",OK,High,,Literature (English & European),1909,1909,,"Harvard Classics, first shelf, stacked under T-W.",
K-HC1-16-14,K,HC 1-16,14,"Harvard Classics, Vol. 14: Don Quixote Part 1, Cervantes",ed. Charles W. Eliot,P. F. Collier & Son,EN,Anthology,49,1000050049.jpg,"Harvard Classics, Vol. 13: Aeneid, Virgil","Harvard Classics, Vol. 15: Pilgrim's Progress, Bunyan, Herbert, Walton, Donne",OK,High,,Literature (English & European),1909,1909,,"Harvard Classics, first shelf, stacked under T-W.",
K-HC1-16-15,K,HC 1-16,15,"Harvard Classics, Vol. 15: Pilgrim's Progress, Bunyan, Herbert, Walton, Donne",ed. Charles W. Eliot,P. F. Collier & Son,EN,Anthology,49,1000050049.jpg,"Harvard Classics, Vol. 14: Don Quixote Part 1, Cervantes","Harvard Classics, Vol. 16: The Thousand and One Nights",OK,High,,Literature (English & European),1909,1909,,"Harvard Classics, first shelf, stacked under T-W.",
K-HC1-16-16,K,HC 1-16,16,"Harvard Classics, Vol. 16: The Thousand and One Nights",ed. Charles W. Eliot,P. F. Collier & Son,EN,Anthology,49,1000050049.jpg,"Harvard Classics, Vol. 15: Pilgrim's Progress, Bunyan, Herbert, Walton, Donne",(shelf end),OK,High,,Literature (English & European),1909,1909,,"Harvard Classics, first shelf, stacked under T-W.",
K-HC17-34-01,K,HC 17-34,1,"Harvard Classics, Vol. 17: Folk-Lore and Fable: Aesop, Grimm, Andersen",ed. Charles W. Eliot,P. F. Collier & Son,EN,Anthology,50,1000050050.jpg,(shelf start),"Harvard Classics, Vol. 18: Modern English Drama",OK,High,,Literature (English & European),1909,1909,,"Harvard Classics, second shelf.",
K-HC17-34-02,K,HC 17-34,2,"Harvard Classics, Vol. 18: Modern English Drama",ed. Charles W. Eliot,P. F. Collier & Son,EN,Anthology,50,1000050050.jpg,"Harvard Classics, Vol. 17: Folk-Lore and Fable: Aesop, Grimm, Andersen","Harvard Classics, Vol. 19: Faust, Egmont etc., Goethe; Doctor Faustus, Marlowe",OK,High,,Literature (English & European),1909,1909,,"Harvard Classics, second shelf.",
K-HC17-34-03,K,HC 17-34,3,"Harvard Classics, Vol. 19: Faust, Egmont etc., Goethe; Doctor Faustus, Marlowe",ed. Charles W. Eliot,P. F. Collier & Son,EN,Anthology,50,1000050050.jpg,"Harvard Classics, Vol. 18: Modern English Drama","Harvard Classics, Vol. 20: The Divine Comedy, Dante",OK,High,,Literature (English & European),1909,1909,,"Harvard Classics, second shelf.",
